NIT,Razón social de la sociedad,CIIU,Departamento de la dirección del domicilio,Fecha de Corte,Activos corrientes totales (CurrentAssets),Pasivos corrientes totales (CurrentLiabilities),Total de activos (Assets),Total pasivos (Liabilities),Patrimonio total (Equity),Ganancia (pérdida) por actividades de operación (ProfitLossFromOperatingActivities),Ingresos de actividades ordinarias (Revenue),Ganancia (pérdida) (ProfitLoss),dya,cfo,capex_ppe,capex_int,anio,capital_trabajo,ebitda,fcl,tamano,ebitda_margen,margen_neto,roa,apalancamiento,razon_corriente,ebitda_wz,capital_trabajo_wz,fcl_wz,ebitda_neg,capital_trabajo_neg,fcl_neg,periodo,ciiu_2d,margen_ebitda_rel_sector,apalancamiento_rel_sector,depto_norm,semaforo,activos_calc,error_contable,error_contable_pct,inconsistente
800011955,DIGITAL ESTEREO SAS,J6010 - Actividades de programación y transmisión en el servicio de radiodifusión sonora,BOGOTA D.C.,2017-12-31,3076693.0,117389.0,3281959.0,121035.0,3160924.0,493619.0,603935.0,324807.0,5768.0,107448.0,,,2017,2959304.0,499387.0,107448.0,Pequeña,82.68886552360767,53.78178115194516,9.896741549787794,3.6878888493122557,26.209380776733767,499387.0,2959304.0,107448.0,False,False,False,Pre-pandemia (2017-2019),J6,74.37593893281104,-59.178322965906816,"BOGOTA, D.C.",Sano,3281959.0,0.0,0.0,False
800011987,Tenaris Tubocaribe Ltda,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,BOLIVAR,2017-12-31,424248954.0,843650382.0,1260674428.0,850618438.0,410055990.0,38581082.0,603621241.0,20823351.0,70582639.0,6532896.0,27486081.0,638464.0,2017,-419401428.0,109163721.0,-21591649.0,Grande,18.084804441134636,3.449737945852041,1.6517627816910079,67.47328406981853,0.5028729471967452,109163721.0,-98029440.48,-21591649.0,False,True,True,Pre-pandemia (2017-2019),C2,7.599375125543926,17.84767248811022,BOLIVAR,Alerta,1260674428.0,0.0,0.0,False
800012080,MUNDIAL DE FILTROS Y ACEITES LTDA,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",VALLE,2017-12-31,6191338.0,1785810.0,6993934.0,2019478.0,4974456.0,1570211.0,13517273.0,1015121.0,69001.0,618032.0,14172.0,,2017,4405528.0,1639212.0,603860.0,Pequeña,12.126795101349215,7.509806156907536,14.514306254534286,28.874707710996418,3.4669634507590392,1639212.0,4405528.0,603860.0,False,False,False,Pre-pandemia (2017-2019),G4,7.287999074220924,-36.11883664710754,VALLE DEL CAUCA,Sano,6993934.0,0.0,0.0,False
800013349,RENOVADORA DE LLANTAS S.A.,C2212 - Reencauche de llantas usadas,BOGOTA D.C.,2017-12-31,16822955.0,8906623.0,29052029.0,10250863.0,18801166.0,3355204.0,29984642.0,1686106.0,220791.0,3477834.0,0.0,40218.0,2017,7916332.0,3575995.0,3437616.0,Mediana,11.926088695672938,5.623232053262467,5.803746099799088,35.284499406220476,1.888814088122962,3575995.0,7916332.0,3437616.0,False,False,False,Pre-pandemia (2017-2019),C2,1.4406593800822272,-14.341112175487837,"BOGOTA, D.C.",Sano,29052029.0,0.0,0.0,False
800015615,MARPICO SA,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",BOGOTA D.C.,2017-12-31,104772680.0,58143994.0,146157436.0,64655142.0,81502294.0,9444865.0,95880279.0,4018963.0,2090240.0,-25510770.0,4373214.0,473246.0,2017,46628686.0,11535105.0,-30357230.0,Grande,12.030737832959373,4.191647168652899,2.7497492498431626,44.2366421917801,1.8019518920561253,11535105.0,46628686.0,-30357230.0,False,False,True,Pre-pandemia (2017-2019),G4,7.191941805831082,-20.75690216632386,"BOGOTA, D.C.",Alerta,146157436.0,0.0,0.0,False
800016390,TAHAMI & CULTIFLORES SA EN REORGANIZACION,A0125 - Cultivo de flor de corte,ANTIOQUIA,2017-12-31,4362403.0,6054279.0,21073667.0,16562961.0,4510706.0,711099.0,9649951.0,462019.0,346369.0,-1328970.0,356798.0,,2017,-1691876.0,1057468.0,-1685768.0,Pequeña,10.958273259625878,4.787785969068651,2.1923996426440637,78.59553346838022,0.7205487226472385,1057468.0,-1691876.0,-1685768.0,False,True,True,Pre-pandemia (2017-2019),A0,0.49847768193438746,38.01856839044871,ANTIOQUIA,Alerta,21073667.0,0.0,0.0,False
800018359,BEL STAR S.A.,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",CUNDINAMARCA,2017-12-31,397161009.0,246562084.0,642599976.0,404540768.0,238059208.0,62847015.0,1061484092.0,26806440.0,21720972.0,44250854.0,22939043.0,442370.0,2017,150598925.0,84567987.0,20869441.0,Grande,7.9669575490915605,2.525373691610632,4.171559446183359,62.953747760488554,1.6107951496711068,84567987.0,150598925.0,20869441.0,False,False,False,Pre-pandemia (2017-2019),C2,-2.5184717664991503,13.328136178780241,CUNDINAMARCA,Sano,642599976.0,0.0,0.0,False
800018411,INVERSIONES MACADAMIA SAS,F4111 - Construcción de edificios residenciales,BOGOTA D.C.,2017-12-31,16906142.0,15361944.0,16906142.0,22914808.0,-6008666.0,-1045139.0,0.0,-1137212.0,0.0,-30942.0,0.0,0.0,2017,1544198.0,-1045139.0,-30942.0,Pequeña,,,-6.726620419963349,135.54131983512266,1.100521001769047,-1045139.0,1544198.0,-30942.0,True,False,True,Pre-pandemia (2017-2019),F4,,60.52407418471651,"BOGOTA, D.C.",Riesgo alto,16906142.0,0.0,0.0,False
800019437,Corrugados del Darien S.A.S.,"C1702 - Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón",ANTIOQUIA,2017-12-31,44562865.0,29573199.0,92159212.0,38388511.0,53770701.0,13241685.0,71430745.0,8075838.0,1054756.0,2399319.0,2974389.0,21419.0,2017,14989666.0,14296441.0,-596489.0,Grande,20.014408361553556,11.30582916361855,8.762919978091826,41.65455646474061,1.5068665719931076,14296441.0,14989666.0,-596489.0,False,False,True,Pre-pandemia (2017-2019),C1,10.737855880300096,-12.76880366433359,ANTIOQUIA,Alerta,92159212.0,0.0,0.0,False
800019615,SYMRISE LTDA,C2029 - Fabricación de otros productos químicos n.c.p.,BOGOTA D.C.,2017-12-31,75531417.0,26194666.0,116213100.0,32265241.0,83947859.0,31062647.0,124054098.0,18364608.0,1747941.0,19092489.0,1325143.0,,2017,49336751.0,32810588.0,17767346.0,Grande,26.4486127656984,14.803709265614104,15.802528286398005,27.763858807655932,2.8834655498184247,32810588.0,49336751.0,17767346.0,False,False,False,Pre-pandemia (2017-2019),C2,15.963183450107689,-21.86175277405238,"BOGOTA, D.C.",Sano,116213100.0,0.0,0.0,False
